n,Time
50,0.00
150,0.00
250,0.00
350,0.00
450,0.00
550,0.00
650,0.00
750,0.00
850,0.00
950,0.00
1050,0.00
1150,0.00
1250,0.00
1350,0.00
1450,0.00
1550,0.00
1650,0.00
1750,0.00
1850,0.00
1950,0.00
2050,4939.57
2150,5389.93
2250,5928.71
2350,5215.64
2450,5556.35
2550,5349.94
2650,5789.73
2750,5688.01
2850,5263.88
2950,5367.23
3050,5357.78
3150,5715.12
3250,5280.50
3350,5925.49
3450,5819.47
3550,5765.94
3650,6191.29
3750,5341.88
3850,5442.33
3950,6249.59
4050,5602.47
4150,5382.87
4250,5549.56
4350,5974.66
4450,6623.77
4550,6325.47
4650,6233.27
4750,6711.33
4850,6745.56
4950,5654.55
5050,6466.47
5150,6480.62
5250,5730.88
5350,6008.92
5450,6465.77
5550,6057.13
5650,7025.32
5750,6925.08
5850,6380.82
5950,6046.18
6050,5949.43
6150,6237.84
6250,7315.48
6350,6357.85
6450,7026.32
6550,6545.06
6650,6970.74
6750,7371.29
6850,7507.81
6950,7558.11
7050,7048.82
7150,6446.24
7250,6447.60
7350,6926.31
7450,6431.85
7550,6766.04
7650,7015.19
7750,6972.27
7850,7096.48
7950,7016.67
8050,6928.44
8150,6913.86
8250,7832.63
8350,7315.00
8450,8072.21
8550,7771.86
8650,7567.95
8750,7071.31
8850,7321.39
8950,8321.74
9050,7720.94
9150,8686.22
9250,7324.89
9350,7866.85
9450,8202.22
9550,7859.86
9650,8035.35
9750,7601.24
9850,7524.09
9950,8403.10
